company,adress,lat,lon
cardtronics,"The Brunswick,LONDON,UK WC1N 1AF",51.5248,-0.1239244
cardtronics,"141 Lambeth Walk,London,UK SE11 6EE",51.49265,-0.1164487
cardtronics,"68 Marchmount Street,LONDON,UK WC1N 1AB",51.52534,-0.1251478
cardtronics,"282-302 Borough High Street,LONDON,UK SE1 1JJ",51.49957,-0.09638868
cardtronics,"87-89 Marchmount Street,LONDON,UK WC1N 1AL",51.52576,-0.125815
cardtronics,"Outside Elephant and Castle Underground,London,UK SE1 6LW",51.4958,-0.1007181
cardtronics,"11-13 Exmouth Market,London,UK EC1R 4QD",51.52559,-0.109952
cardtronics,"300 Oxford Street,London,UK W1C 1DX",51.51535,-0.1452033
cardtronics,"17 Shepherd Street,LONDON,UK W1J 7JG",51.50626,-0.1470887
cardtronics,"Arch 3,LONDON,UK EC4N 6AP",51.51092,-0.090477
cardtronics,"Arch 3,LONDON,UK EC4N 6AP",51.51092,-0.090477
cardtronics,"42 Exmouth Market,LONDON,UK EC1R 4QE",51.52581,-0.1088252
cardtronics,"Spearmint Rhino, 161 Tottenham Court Road,LONDON,UK W1T 7NN",51.52322,-0.1365283
cardtronics,"118 - 122 Great Portland Street,London,UK W1W 6",51.51965,-0.1423163
cardtronics,"118-122 Great Portland Street,London,UK W1W 6PS",51.51981,-0.1423796
cardtronics,"1 Medway Court,LONDON,UK WC1H 9QX",51.52687,-0.1245888
cardtronics,"294 Gray's Inn Road,LONDON,UK WC1X 8DX",51.52788,-0.1185248
cardtronics,"Silk Street,LONDON,UK EC2Y 8DS",51.51977,-0.09390178
cardtronics,"27-28 Curzon Street,LONDON,UK W1J 7TJ",51.50634,-0.1493948
cardtronics,"New Kent Road,LONDON,UK SE1 6PH",51.49518,-0.09747743
cardtronics,"Threadneedle Street,LONDON,UK EC2R 8AH",51.51435,-0.08904383
cardtronics,"Threadneedle Street,LONDON,UK EC2R 8AH",51.51435,-0.08904383
cardtronics,"235 Euston Road,LONDON,UK NW1 2BU",51.52481,-0.1369914
cardtronics,"20 Moorgate,LONDON,UK EC2R 6DA",51.51514,-0.08921041
cardtronics,"322 Vauxhall Bridge Road,LONDON,UK SW1V 1AA",51.49562,-0.1418167
cardtronics,"Elephant Road,London,UK SE17 1LB",51.49377,-0.09862208
cardtronics,"148 - 158 Vauxhall Bridge Road,LONDON,UK SW1V 2RE",51.49268,-0.1369738
cardtronics,"20 Moorgate,LONDON,UK 0EC2R",51.51609,-0.0890558
cardtronics,"99 Newington Butts,LONDON,UK SE1 6SF",51.49241,-0.1010491
cardtronics,"295 Euston Road,CAMDEN,UK NW1 3AD",51.5243,-0.1396548
cardtronics,"295 Euston Road,LONDON,UK NW1 3AD",51.5243,-0.1396548
cardtronics,"43 King William Street o/s Adelaide House,LONDON,UK EC4R 9AN",51.50997,-0.08666416
cardtronics,"124 Euston Road,LONDON,UK NW1 2AL",51.52832,-0.1291952
cardtronics,"80-82 Walworth Road,LONDON,UK SE1 6SW",51.49261,-0.09889844
cardtronics,"100 Kings Cross Road,London,UK WC1X 9DT",51.5295,-0.1155453
cardtronics,"10 Vauxhall Bridge Road,LONDON,UK SW1V 2SD",51.48964,-0.1311271
cardtronics,"Victoria Street,LONDON,UK SW1V 1JU",51.49568,-0.1447164
cardtronics,"Victoria Street,LONDON,UK SW1V 1JU",51.49568,-0.1447164
cardtronics,"Victoria Street,LONDON,UK SW1V 1JU",51.49568,-0.1447164
cardtronics,"Victoria Street,LONDON,UK SW1V 1JU",51.49568,-0.1447164
cardtronics,"Victoria Street,LONDON,UK SW1V 1JU",51.49568,-0.1447164
cardtronics,"Victoria Street,LONDON,UK SW1V 1JU",51.49568,-0.1447164
cardtronics,"Cherry Tree Walk Centre Whitecross Street,London,UK EC1Y 8NX",51.52179,-0.09234064
cardtronics,"151 Kings Cross Road,LONDON,UK 0WC1X",51.52995,-0.1165896
cardtronics,"333 Grays Inn Road,LONDON,UK WC1X 8PX",51.53029,-0.121567
cardtronics,"Euston Road,LONDON,UK NW1 2RT",51.52861,-0.1332828
cardtronics,"Euston Road,LONDON,UK NW1 2RT",51.52861,-0.1332828
cardtronics,"Euston Road,LONDON,UK NW1 2RT",51.52861,-0.1332828
cardtronics,"Euston Road,LONDON,UK NW1 2RT",51.52861,-0.1332828
cardtronics,"238 Kennington Lane,VAUXHALL,UK SE11 5RD",51.48714,-0.1157563
cardtronics,"111 Buckingham Palace Road,LONDON,UK SW1W 0DT",51.4948,-0.1458119
cardtronics,"111 Buckingham Palace Road,London,UK SW1W 0DT",51.4948,-0.1458119
cardtronics,"77 - 83 Park Lane,LONDON,UK W1K 7HB",51.50869,-0.15419
cardtronics,"71 Belgrave Road,LONDON,UK SW1V 2BG",51.49022,-0.1373448
cardtronics,"297 Kennington Road,London,UK SE11 4QE",51.48756,-0.1109056
cardtronics,"159 Great Dover Street,LONDON,UK SE1 4",51.49704,-0.0891192
cardtronics,"53-55 Charlton Street,LONDON,UK NW1 1",51.52987,-0.1305577
cardtronics,"197-211 New Kent Road,LONDON,UK SE1 4AG",51.4943,-0.09163941
cardtronics,"197-211 New Kent Road,LONDON,UK SE1 4AG",51.4943,-0.09163941
cardtronics,"322 Kennington Lane,London,UK SE11 5HY",51.48647,-0.1196845
cardtronics,"344 Kennington Lane,LONDON,UK SE11 5HY",51.48647,-0.1196845
cardtronics,"15-17 Caledonian Road,KINGS CROSS,UK N1 9D",51.53152,-0.1211184
cardtronics,"100 Chalton Street,LONDON,UK NW1 1HJ",51.53077,-0.131007
cardtronics,"Unit 13,LONDON,UK SW1W 9SH",51.49305,-0.1464996
cardtronics,"Unit 13,LONDON,UK SW1W 9SH",51.49305,-0.1464996
cardtronics,"198-208 Old Street,London,UK EC1V 9BP",51.52497,-0.09046045
cardtronics,"152 Central Street,LONDON,UK EC1V 8AY",51.52888,-0.09706355
cardtronics,"46 Compton Close,LONDON,UK NW1 3",51.52807,-0.1429511
