-0.1306428,51.52003,"The Cooperative Food (BF)  Store Street (19-21 Store Street,London,UK WC1E 7DB)"
-0.1139195,51.52202,"The Cooperative Food London - 34-49 Grays Inn Road (34 - 49 Grays Inn Road,London,UK 0WC1X)"
-0.1061059,51.51992,"BT Kiosk Jct Farringdon Road and Grenville Road- LONDON Camden(Jct Farringdon Road and Grenville Road,LONDON,UK EC1M 3JF)"
-0.1321463,51.51974,"The Cooperative Food (BF) Store Street (19 - 21 Store Street,London,UK 0WC1E)"
-0.1349799,51.49981,"Ministry of Justice (102 Petty France,LONDON,UK SW1H 9AJ)"
-0.1187146,51.5226,"Peoples Super Market (72-78 Lamb's Conduit Street,LONDON,UK WC1N 3LP)"
-0.1354055,51.51868,"Bank of Cyprus Charlotte St PM / SWAP (Mirren) (27-31 Charlotte Street,LONDON,UK W1T 1)"
-0.1041557,51.49786,"Superway Supermarket Limited (16 London Road,LONDON,UK SE1 6JZ)"
-0.09755799,51.51478,"The Cooperative Food  London - St Pauls St Pauls(5 Cheapside,London,UK EC2V 6AA)"
-0.1045072,51.52074,"Metro Dry Cleaners Farringdon (86-88 Turnmill Street,LONDON,UK EC1M 5QU)"
-0.114801,51.52367,"BT Kiosk ITN BUILDING - 192/200- LONDON GRAYS INN ROAD(ITN BUILDING - 192/200,LONDON,UK WC1X 8HB)"
-0.1000129,51.49984,"The Cooperative Food  Southwark - Southwark Bridge Road Southwark(136 Southwark Bridge Road,London,UK SE1 0DG)"
-0.09595879,51.51357,"One New Change 2 1 New Change(Ground Floor Right,CHEAPSIDE,UK EC4M 9AF)"
-0.09595879,51.51357,"One New Change 5 1 New Change(First Floor (Opposite Nandos) Right,CHEAPSIDE,UK EC4M 9AF)"
-0.09595879,51.51357,"One New Change 3 1 New Change(Ground Floor Internal ATM,CHEAPSIDE,UK EC4M 9AF)"
-0.09595879,51.51357,"One New Change 4 1 New Change(First Floor (opposite Nandos) Left,CHEAPSIDE,UK EC4M 9AF)"
-0.09595879,51.51357,"One New Change 1 1 New Change(Ground Floor Left,CHEAPSIDE,UK EC4M 9AF)"
-0.1003861,51.4992,"The Bridge Hotel - (Mirren) (30 BOROUGH ROAD,LONDON,UK SE1 0AJ)"
-0.137869,51.49867,"MCOLLS LONDON 38 BUCKINGHAM GATE (38 BUCKINGHAM GATE,WESTMINSTER,UK SW1E 6BS)"
-0.09527699,51.50342,"Shell Southwark Bridge (496) Southwark(101-103 Southwark Bridge Road,London,UK SE1 0AX)"
-0.1079463,51.52326,"BT KIOSK EAGLE PUB (CZC) FARRINGDON RD(OPP THE EAGLE PUBLIC HOUSE,London,UK EC1R 3BL)"
-0.09480931,51.50372,"Union Food & Wine London Bridge(77-79 Union Street,London,UK SE1 1SG)"
-0.1276258,51.5241,"Portland Food & Wine Woburn St Pancras(37/38 Woburn Place,LONDON,UK WC1H 0JR)"
-0.1239244,51.5248,"Waitrose Bloomsbury Bloomsbury(The Brunswick,LONDON,UK WC1N 1AF)"
-0.1164487,51.49265,"Lambeth Walk Off Licence (141 Lambeth Walk,London,UK SE11 6EE)"
-0.1251478,51.52534,"Bancomat - A-Z Internet (TOIS) (68 Marchmount Street,LONDON,UK WC1N 1AB)"
-0.09638868,51.49957,"RAO (282-302 Borough High Street,LONDON,UK SE1 1JJ)"
-0.125815,51.52576,"RUSSELL SUPERMARKET (SWAP) (87-89 Marchmount Street,LONDON,UK WC1N 1AL)"
-0.1007181,51.4958,"BT Kiosk Elephant & Castle UG (CZC) (Outside Elephant and Castle Underground,London,UK SE1 6LW)"
-0.109952,51.52559,"BT KIOSK, OS 11-13 Exmouth Market, London (11-13 Exmouth Market,London,UK EC1R 4QD)"
-0.1452033,51.51535,"John Lewis Oxford Street 1 (300 Oxford Street,London,UK W1C 1DX)"
-0.1470887,51.50626,"Smart Market (17 Shepherd Street,LONDON,UK W1J 7JG)"
-0.090477,51.51092,"Cannon Street Station (Network Rail) Dowgate Hill(Arch 3,LONDON,UK EC4N 6AP)"
-0.090477,51.51092,"Cannon Street Station (Network Rail) Dowgate Hill(Arch 3,LONDON,UK EC4N 6AP)"
-0.1088252,51.52581,"Anand News Ltd (Cash Score) (42 Exmouth Market,LONDON,UK EC1R 4QE)"
-0.1365283,51.52322,"SRB Grills - London (Spearmint Rhino, 161 Tottenham Court Road,LONDON,UK W1T 7NN)"
-0.1423163,51.51965,"The Cooperative Food (BF) London - Great Portland (118 - 122 Great Portland Street,London,UK W1W 6)"
-0.1423796,51.51981,"The Cooperative Food (BF)  London - Great Portland (118-122 Great Portland Street,London,UK W1W 6PS)"
-0.1245888,51.52687,"Supersave - Food & Wine Corner of Judd Street and Leigh Street(1 Medway Court,LONDON,UK WC1H 9QX)"
-0.1185248,51.52788,"Strain Keville (Cash Score) (294 Gray's Inn Road,LONDON,UK WC1X 8DX)"
-0.09390178,51.51977,"Barbican Centre (Silk Street,LONDON,UK EC2Y 8DS)"
-0.1493948,51.50634,"Aspinalls Club Mayfair(27-28 Curzon Street,LONDON,UK W1J 7TJ)"
-0.09747743,51.49518,"BT Kiosk os Select & Save (New Kent Road,LONDON,UK SE1 6PH)"
-0.08904383,51.51435,"Bank of England HQ (Threadneedle Street,LONDON,UK EC2R 8AH)"
-0.08904383,51.51435,"Bank of England HQ (2nd ATM - Ground floor) (Threadneedle Street,LONDON,UK EC2R 8AH)"
-0.1369914,51.52481,"(Seasonal) University College Hospital (235 Euston Road,LONDON,UK NW1 2BU)"
-0.08921041,51.51514,"Bank of England (20 Moorgate,LONDON,UK EC2R 6DA)"
-0.1418167,51.49562,"Jennings Bets (322 Vauxhall Bridge Road,LONDON,UK SW1V 1AA)"
-0.09862208,51.49377,"Elephant & Castle Station (Govia Thameslink) .(Elephant Road,London,UK SE17 1LB)"
-0.1369738,51.49268,"MRH - Vauxhall Bridge Westminster Road(148 - 158 Vauxhall Bridge Road,LONDON,UK SW1V 2RE)"
-0.0890558,51.51609,"Bank of England (20 Moorgate,LONDON,UK 0EC2R)"
-0.1010491,51.49241,"Suraj Mini Market Waterloo(99 Newington Butts,LONDON,UK SE1 6SF)"
-0.1396548,51.5243,"Simply Fresh (295 Euston Road,CAMDEN,UK NW1 3AD)"
-0.1396548,51.5243,"Simply Fresh/Londis (295 Euston Road,LONDON,UK NW1 3AD)"
-0.08666416,51.50997,"BT Kiosk 43 King William Street o/s Adelaide House- LONDON A3 Northside London Bridge(43 King William Street o/s Adelaide House,LONDON,UK EC4R 9AN)"
-0.1291952,51.52832,"China Travel Services (124 Euston Road,LONDON,UK NW1 2AL)"
-0.09889844,51.49261,"Ivory Arch Restaurant (CZI) (80-82 Walworth Road,LONDON,UK SE1 6SW)"
-0.1155453,51.5295,"Travelodge Kings Cross Royal Scot (100 Kings Cross Road,London,UK WC1X 9DT)"
-0.1311271,51.48964,"Pimlico News (10 Vauxhall Bridge Road,LONDON,UK SW1V 2SD)"
-0.1447164,51.49568,"Victoria Station (Network Rail) (Victoria Street,LONDON,UK SW1V 1JU)"
-0.1447164,51.49568,"Victoria Station (Network Rail) (Victoria Street,LONDON,UK SW1V 1JU)"
