name,lat,lon
Tamworth Rd North End Rd,51.3779,-0.10251
Tottenham Broad Lane The Hale,51.5883,-0.06344
A10 North of Northwold Rd,51.5636,-0.07325
Stamford Hill Egerton Rd,51.5743,-0.07221
A10 Stoke Newington Rd Barretts Grove,51.5522,-0.07486
A1 Watford Way The Broadway,51.6169,-0.24511
A24 Morden Rd Merantun Way,51.4135,-0.19269
A10 North of Shenfield St,51.5312,-0.07699
A10 Kingsland High St Winchester,51.5484,-0.07533
Southwark St Southwark Bdge Rd,51.5048,-0.09535
Tooting High St Selkirk Rd,51.4291,-0.16703
Goswell Rd Opp Owen St,51.5313,-0.10463
Stonecot Hill Hill Top,51.3846,-0.21282
Trafalgar Rd Greenwich Pk St,51.4837,-0.00014
Bow Rd Alfred St,51.5271,-0.0255
Vauxhall B Rd N Rampayne St,51.4903,-0.13315
The Broadway St.Georges Av,51.5115,-0.37768
Twickenham Rd St Johns Grove,51.465,-0.30139
Tooting Bec Rd   A24,51.4355,-0.15937
Talgarth Rd Butterwick,51.4914,-0.22206
A12 M11 Redbrdg 100A,51.576,0.04432
Seven Sisters Rd St Ann,51.5798,-0.07978
A21 Bromley Rd Beckenham Hl Rd,51.427,-0.01055
A23 Purley Way Edgehill Rd,51.3456,-0.11434
A10 North of Walford Rd,51.5559,-0.07467
A3 Clapham Rd Elias Place,51.4808,-0.11356
A118 Romford Rd A406 Ncr,51.5564,0.06491
Seven Sisters Rd Wilberforce Rd,51.5656,-0.10288
Thurlow Park Road Croxted Road,51.4412,-0.09268
A20 Lewisham Way Parkfield Rd,51.4745,-0.03458
A2 Eltham East W B,51.4557,0.0572
A1 South of Muswell Hill,51.5773,-0.14662
A205 north of Broad Walk,51.4695,0.05439
Old Kent Rd Peckham Pk R,51.483,-0.06423
A406 Iveagh Ave,51.5378,-0.28341
South Lambeth Rd Miles St,51.4826,-0.12416
Tower Bridge App. East Smithfield,51.509,-0.07368
A406 Telford Rd Bowes Rd,51.6151,-0.12769
A1 Holders Hill,51.5948,-0.21662
Wellington Rd St Johns Wd Rd,51.53,-0.16889
Purley Way Newman Rd,51.3835,-0.12116
Watford Way   Aerodrome Rd,51.5925,-0.23451
Kingston-Tolworth Roundabout,51.3794,-0.28063
Seven Sis Rd Moreton Rd,51.578,-0.08271
A23 London Road Norbury Crescent,51.4107,-0.12273
London Rd Thomas Doyle St,51.498,-0.10376
Jamaica Rd W of West Ln,51.4986,-0.0611
Seven Sisters Rd Alexandria Grove,51.568,-0.09933
Ram St Barchard St,51.4583,-0.19202
A12 Wansbeck Road,51.5418,-0.02692
Peckham Rd E of Vestry Rd,51.4737,-0.08359
Rushy Green Rosenthal Rd,51.4488,-0.01722
Nine Elms Ln Ponton Rd,51.4832,-0.13308
Upper Tooting Rd Topsham Rd,51.4346,-0.1615
George St Wellesley Rd,51.3741,-0.09646
Upper Tooting Rd Kellino St,51.4305,-0.16531
St Georges Sq Lupus St,51.4887,-0.13477
Shoreditch High St Batemans Row,51.5252,-0.07732
Prince Regents Lane Jn,51.5175,0.03219
Seven Sisters Rd Manor House,51.5706,-0.09615
Bowes Rd Brownlow Rd,51.6127,-0.12115
Marylebone Rd Osnaburgh St,51.5241,-0.14352
Park Lane Opposite Stanhope Gate,51.5066,-0.15277
Sterling Way Slip A1010 Fore St,51.6148,-0.06419
Oxford St Vere St,51.5147,-0.14721
Seven Sisters Rd Op Yonge Pk,51.5623,-0.11041
Ruckholt Rd Sherrin Rd,51.5547,-0.01696
A406 Gunnersbury Ave Gunnersbury Ln,51.5006,-0.2843
Westfield Ave International Way Car Park A,51.5435,-0.01109
Watford Way Mill Hill Circus,51.6154,-0.24215
Stamford Hill Dunsmure Road,51.5702,-0.07297
Waterloo Bridge south,51.5053,-0.11402
Upper St St Albans Place,51.5364,-0.10364
Stratford Broadway Gt Eastern Rd,51.5393,-0.00055
Seven Sisters Rd Barrow Way,51.5614,-0.11295
Stafford Rd Epsom Rd,51.3672,-0.11608
South Lambeth Rd Tradescant Rd,51.4789,-0.12365
St Giles Circus,51.5164,-0.13022
Twickenham Rd Heathcote Rd,51.4583,-0.31699
Shoreditch High St Commercial St,51.5228,-0.07762
South Lambeth Rd Parry St,51.4843,-0.12288
A5 Kilburn High Rd Willesden Ln,51.5417,-0.19768
A13 Commercial Road Salmon Lane,51.5124,-0.032
A3205 BATTERSEA PK RD - SAVONA ST,51.4793,-0.14235
A12 Kswood Rd 3893A,51.571,0.01022
Shepherd Bush Rd Brook Green,51.4975,-0.22253
Sevn Sistrs Rd Blackstock Rd,51.5646,-0.10464
The Highway Glamis Road,51.5097,-0.05046
A102 Shooters Hill,51.4746,0.02484
Shooters Hill Rd Charlton Pk Ln,51.4743,0.03774
The Vale   Eastman Rd,51.5064,-0.26051
Tower Bridge Rd Rothsay St,51.4961,-0.08297
Pentonville Road   Penton Rise,51.5314,-0.11401
A2 Arbuthnot Lane,51.4482,0.13535
Talgarth Rd Gliddon Rd,51.4907,-0.21425
Nine Elms Ln Cringle St,51.4812,-0.13804
Northumberland Ave Victoria Emb,51.5064,-0.12224
Sterling Way Slip Victoria St,51.6145,-0.06816
A23 Brixton Rd Stockwell Rd,51.4653,-0.11407
Great Eastern Rd Angel Lane Bridge,51.5443,0.00026
Stockwell Rd By Clapham Rd,51.472,-0.12219
Seven Sisters Rd by Fonthill Rd,51.5631,-0.10827
Putney High St Lwr Richmond Rd,51.4659,-0.21409
Sthampton Row Vernon Plc,51.5191,-0.12116
Sheen Lane Larches Av,51.4644,-0.26661
A3 Kingston Bp Burlington Rd,51.3996,-0.24355
Shepherd Bush Gr Wood Lane,51.5051,-0.22477
Tottenham Court Rd Grafton Way,51.5238,-0.13724
Stoke Newington Rd Evering Rd,51.5571,-0.07466
Stockwell Rd Chantrey Rd,51.4658,-0.11663
Western Ave Alperton Lane,51.5322,-0.31016
A406 Fulbourne Road,51.6004,-0.00925
